"","reference_no","pubyr","author1last","author2last","reftitle","doi","publication_type","complete_aff","grid_code","samp_country","aff_country1","aff_country2","aff_country3","aff_country4","aff_country5","aff_country6","aff_country7","aff_country8","aff_country9","aff_country10","aff_country11","aff_country12","aff_country13","aff_country14","aff_country15","aff_country16"
"5210","40903",2011,"Grandstaff","Parris","Bonnerichthys gladius (Osteichthyes) from the Cretaceous of the Atlantic coastal states","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5222","52957",2011,"Heie","Wegierek","A list of fossil aphids (Hemiptera, Sternorrhyncha, Aphidomorpha)","","serial monograph",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"5224","40348",2011,"Hiller","","A new archaeocete (Mammalia: Cetacea) from North Canterbury, South Island, New Zealand","","abstract",NA,"","New Zealand","Unknown","","","","","","","","","","","","","","",""
"5227","45936",2011,"Hughes","Myrow","Cambrian rocks and faunas of the Black Mountain region, Bhutan","","journal article",NA,"","Bhutan","Unknown","","","","","","","","","","","","","","",""
"5267","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Cayman Islands","Unknown","","","","","","","","","","","","","","",""
"5268","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","CuraÃƒÂ§ao","Unknown","","","","","","","","","","","","","","",""
"5269","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"5270","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Colombia","Unknown","","","","","","","","","","","","","","",""
"5271","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Indonesia","Unknown","","","","","","","","","","","","","","",""
"5272","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Panama","Unknown","","","","","","","","","","","","","","",""
"5273","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Belize","Unknown","","","","","","","","","","","","","","",""
"5274","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Papua New Guinea","Unknown","","","","","","","","","","","","","","",""
"5275","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Jamaica","Unknown","","","","","","","","","","","","","","",""
"5276","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Trinidad & Tobago","Unknown","","","","","","","","","","","","","","",""
"5277","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Dominican Republic","Unknown","","","","","","","","","","","","","","",""
"5278","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Haiti","Unknown","","","","","","","","","","","","","","",""
"5279","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Kenya","Unknown","","","","","","","","","","","","","","",""
"5280","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Djibouti","Unknown","","","","","","","","","","","","","","",""
"5281","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Barbados","Unknown","","","","","","","","","","","","","","",""
"5282","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Japan","Unknown","","","","","","","","","","","","","","",""
"5283","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5284","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Egypt","Unknown","","","","","","","","","","","","","","",""
"5285","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Saudi Arabia","Unknown","","","","","","","","","","","","","","",""
"5286","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Eritrea","Unknown","","","","","","","","","","","","","","",""
"5287","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Taiwan","Unknown","","","","","","","","","","","","","","",""
"5288","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Costa Rica","Unknown","","","","","","","","","","","","","","",""
"5289","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Bahamas","Unknown","","","","","","","","","","","","","","",""
"5290","35169",2011,"Kiessling","Simpson","Taxonomic vetting of Pleistocene coral occurrence data","","",NA,"","Australia","Unknown","","","","","","","","","","","","","","",""
"5292","36624",2011,"Kimura","Barnes","The platanistoid family Allodelphinidae, and a new Early Miocene species from central Japan","","abstract",NA,"","Japan","Unknown","","","","","","","","","","","","","","",""
"5333","49460",2011,"Legalov","","New data on fossil beetles of the superfamily Curculionoidea (Coleoptera, Curculionidae) from Jurassic and Cretaceous deposits of the Northern Hemisphere","","journal article",NA,"","Mongolia","Unknown","","","","","","","","","","","","","","",""
"5334","49460",2011,"Legalov","","New data on fossil beetles of the superfamily Curculionoidea (Coleoptera, Curculionidae) from Jurassic and Cretaceous deposits of the Northern Hemisphere","","journal article",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"5361","36103",2011,"Mewis","","Field work Vanuatu","","",NA,"","Vanuatu","Unknown","","","","","","","","","","","","","","",""
"5362","36125",2011,"Mewis","","Field work Sinai","","",NA,"","Egypt","Unknown","","","","","","","","","","","","","","",""
"5381","55310",2011,"Oms","Riera","The geological context: the Upper Cretaceous peninsula","","book chapter",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"5449","53495",2011,"Schiebout","Ting","Terrestrial carnivores, artiodactyls, perissodactyls, and proboscideans of the Fort Polk Miocene sites of Louisiana","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5530","36626",2011,"Velez-Juarbe","Domning","A new dugongine (Sirenia; Dugongidae) from the Late Oligocene of Puerto Rico and its position within the Dugonginae","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5534","55315",2011,"Vila","SuÃƒÂ±er","Saurischians through time","","book chapter",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"5539","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Anguilla","Unknown","","","","","","","","","","","","","","",""
"5540","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Colombia","Unknown","","","","","","","","","","","","","","",""
"5541","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Costa Rica","Unknown","","","","","","","","","","","","","","",""
"5542","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Cuba","Unknown","","","","","","","","","","","","","","",""
"5543","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Dominican Republic","Unknown","","","","","","","","","","","","","","",""
"5544","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Ecuador","Unknown","","","","","","","","","","","","","","",""
"5545","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Jamaica","Unknown","","","","","","","","","","","","","","",""
"5546","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Mexico","Unknown","","","","","","","","","","","","","","",""
"5547","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Panama","Unknown","","","","","","","","","","","","","","",""
"5548","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Puerto Rico","Unknown","","","","","","","","","","","","","","",""
"5549","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5550","37262",2011,"Waller","","Neogene Paleontology of the Northern Dominican Republic. 24. Propeamussidae and Pectinidae (Mollusca: Bivalvia: Pectinoidea) of the Cibao Valley","","serial monograph",NA,"","Venezuela","Unknown","","","","","","","","","","","","","","",""
"5576","35516",2011,"Yeh","","A Middle Jurassic (Upper Bajocian) radiolarian assemblage from Snowshoe Formation, east-central Oregon","10.6693/CAR.2011.24.1 ","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5577","39903",2011,"Zalmout","Antar","Late Eocene vertebrate faunas from the Qattara Depression in the Western Desert of Egypt","","abstract",NA,"","Egypt","Unknown","","","","","","","","","","","","","","",""
"5586","49213",2011,"Zompro","","Description of the first adult female of Ã¢â‚¬Â Archipseudophasma phoenix Zompro, 2001 known to science, with notes on the subfamily Ã¢â‚¬Â Sucinophasmatinae (Insecta: Phasmatodea: Ã¢â‚¬Â Archipseudophasmatidae)","","journal article",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"5589","72876",2011,"Zvonok","<U+0423><U+0434><U+043E><U+0432><U+0438><U+0447><U+0435><U+043D><U+043A><U+043E>","<U+043D><U+043E><U+0432><U+043E><U+043C> <U+043C><U+0435><U+0441><U+0442><U+043E><U+043D><U+0430><U+0445><U+043E><U+0436><U+0434><U+0435><U+043D><U+0438><U+0438> <U+043F><U+0430><U+043B><U+0435><U+043E><U+0433><U+0435><U+043D><U+043E><U+0432><U+044B><U+0445> <U+043F><U+043E><U+0437><U+0432><U+043E><U+043D><U+043E><U+0447><U+043D><U+044B><U+0445> <U+0432> <U+0423><U+043A><U+0440><U+0430><U+0438><U+043D><U+0435> ","","abstract",NA,"","Ukraine","Unknown","","","","","","","","","","","","","","",""
"5594","33919",2010,"Aberhan","","Jurassic bivalves: Taxonomic opinions","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5595","34080",2010,"Aberhan","","Cretaceous bivalves: taxonomic opinions","","",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5608","52415",2010,"Alceo","Giorgio","Late Campanian Rudist Assemblages and Biometrical Analysis of Pseudopolyconites from BaÃ„Âevica (Eastern Serbia)","","journal article",NA,"","Serbia","Unknown","","","","","","","","","","","","","","",""
"5656","51342",2010,"BÃƒÂ©thoux","Jarzembowski","New basal neopterans from Writhlington (UK, Pennsylvanian)","","journal article",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"5657","51632",2010,"BÃƒÂ©thoux","Schneider","Description of a hind wing of a new basal Archaeorthoptera (Mazon Creek, IL; Pennsylvanian)","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5663","35496",2010,"Bakker","Mossbrucker","From the tomb of the first Stegosaurus: a preliminary report on new small vertebrate specimens from Lakes' Quarry 5, Morrison Formation of Morrison, Colorado","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5676","62692",2010,"Barroso-Barcenilla","Goy","The ammonite genus Vascoceras Choffat, 1898 (family Vascoceratidae DouvillÃƒÂ©, 1912) in the Iberian Trough, Spain","10.1127/pala/290/2010/199","journal article",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"5679","34295",2010,"Beatty","Geisler","A stratigraphically precise record of Protosiren (Protosirenidae, Sirenia) from North America","10.1127/0077-7749/2010/0095","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5723","40384",2010,"Bromfield","","","","Ph.D. thesis",NA,"","Fiji","Unknown","","","","","","","","","","","","","","",""
"5724","40384",2010,"Bromfield","","","","Ph.D. thesis",NA,"","Indonesia","Unknown","","","","","","","","","","","","","","",""
"5725","40384",2010,"Bromfield","","","","Ph.D. thesis",NA,"","Papua New Guinea","Unknown","","","","","","","","","","","","","","",""
"5732","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"5733","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5734","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Israel","Unknown","","","","","","","","","","","","","","",""
"5735","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Turkey","Unknown","","","","","","","","","","","","","","",""
"5736","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"5737","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Algeria","Unknown","","","","","","","","","","","","","","",""
"5738","32144",2010,"Butler","","Taxonomic opinions on Archosauromorpha","","",NA,"","Tanzania","Unknown","","","","","","","","","","","","","","",""
"5745","38927",2010,"Campmas","Laroulandie","","","book/book chapter",NA,"","Morocco","Unknown","","","","","","","","","","","","","","",""
"5750","57869",2010,"Carlini","Ciancio","Middle Eocene-Early Miocene Dasypodidae (Xenarthra) of southern South America: biostratigraphy and palaeoecology","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5781","57940",2010,"Czaplewski","","Bats (Mammalia: Chiroptera) from Gran Barranca (early Miocene, Colhuehuapian), Chubut Province, Argentina","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5786","31715",2010,"Database","","NMMNH collections database","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5837","33795",2010,"Fiorillo","McCarthy","Paleontology and paleoenvironmental interpretation of the Kikak-Tegoseak Quarry (Prince Creek Formation: Late Cretaceous), northern Alaska: a multi-disciplinary study of a high-latitude ceratopsian dinosaur bonebed","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5842","34666",2010,"Franzi","Feranec","A Champlain Sea phocid seal fossil from the Champlain Lowland at Plattsburgh, New York","","abstract",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5851","41030",2010,"Galiano","AlbersdÃƒÂ¶rfer","A New Basal Diplodocoid Species, Amphicoelias brontodiplodocus from the Morrison Formation, Big Horn Basin, Wyoming, with Taxonomic Reevaluation of Diplodocus, Apatosaurus, Barosaurus and Other Genera","","serial monograph",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5862","42503",2010,"Gay","","Kayentavenator elysiae, a new tetanuran from the Early Jurassic of Arizona","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5863","57895",2010,"Gelfo","","The ""condylarth"" Didolodontidae from Gran Barranca: history of the bunodont South American mammals until the Eocene-Oligocene transition","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5865","33796",2010,"Getty","Loewen","Taphonomy of horned dinosaurs (Ornithischia: Ceratopsidae) from the late Campanian Kaiparowits Formation, Grand Staircase-Escalante National Monument, Utah","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"5872","57847",2010,"Goin","Abello","Middle Tertiary marsupials from central Patagonia (early Oligocene of Gran Barranca): understanding South America's Grande Coupure","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5905","60859",2010,"Hooker","","The mammal fauna of the early Eocene Blackheath Formation of Abbey Wood, London","","serial monograph",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"5906","60859",2010,"Hooker","","The mammal fauna of the early Eocene Blackheath Formation of Abbey Wood, London","","serial monograph",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"5907","49101",2010,"Horovitz","Sanchez-Villagra","Fossil rodents from the late Miocene Urumaco and middle Miocene Cumaca formations, Venezuela","","book chapter",NA,"","Venezuela","Unknown","","","","","","","","","","","","","","",""
"5949","57939",2010,"Kay","","A new primate from the early Miocene of Gran Barranca, Chubut Province, Argentina: paleoecological implications","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5991","70739",2010,"KrÃƒÂ¼ger","Dunlop","Schizomids (Arachnida: Schizomida) from Dominican Republic amber","","journal article",NA,"","Dominican Republic","Unknown","","","","","","","","","","","","","","",""
"5992","57912",2010,"Kramarz","Bond","Colhuehuapian Astrapotheriidae (Mammalia) from Gran Barranca south of Lake Colhue Huapi","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"5993","57941",2010,"Kramarz","Vucetich","A new mammal fauna at the top of the Gran Barranca sequence and its biochronological significance","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6012","57896",2010,"LÃƒÂ³pez","Ribeiro","The Notohippidae (Mammalia, Notoungulata) from Gran Barranca: preliminary considerations","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6013","58082",2010,"LÃƒÂ³pez","","Divisaderan: Land Mammal Age or local fauna?","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6048","57657",2010,"Lewis","Morlo","Creodonta","","book chapter",NA,"","Ethiopia","Unknown","","","","","","","","","","","","","","",""
"6049","51087",2010,"Li","Sullivan","Basal birds from China: a brief review","10.5122/cbirds.2010.0002","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6051","33997",2010,"Li","Wang","[A new species of Confuciusornis from Lower Cretaceous of Jianchung, Liaoning, China]","","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6052","35855",2010,"Li","Bai","[Dinosaur tracks in Wulatezhongqi, Inner Mongolia]","","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6053","36151",2010,"Li","Gong","[A new enantiornithine bird (Aves) from the Early Cretaceous of Liaoning, China]","","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6089","33415",2010,"Makovicky","","A redescription of the Montanoceratops cerorhynchus holotype with a review of referred material","","book/book chapter",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6091","33793",2010,"Mallon","Holmes","Description of a complete and fully articulated chasmosaurine postcranium previously assigned to Anchiceratops (Dinosauria: Ceratopsia)","","book/book chapter",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6108","33790",2010,"McDonald","Horner","New material of ""Styracosaurus"" ovatus from the Two Medicine Formation of Montana","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6120","35328",2010,"Miquel","Bellosi","Middle Eocene - Oligocene gastropods of the Sarmiento Formation, central Patagonia","","book/book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6121","33416",2010,"Miyashita","Currie","First basal neoceratopsian from the Oldman Formation (Belly River Group), southern Alberta","","book/book chapter",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6123","69481",2010,"Mol","Tsoukala","A Stegodon from the area of Siatista (Kozani, Macedonia, Greece), the first evidence of the presence of Stegodon in Europe","","abstract",NA,"","Greece","Unknown","","","","","","","","","","","","","","",""
"6128","36518",2010,"Moths","Albrecht","Die molluskenfauna (Hermmorium, UntermiozÃƒÂ¤n) aus der Kiesgrube kirnke bei Werder (Nordwest-Niedersachsen)","","journal article",NA,"","Germany","Unknown","","","","","","","","","","","","","","",""
"6134","36753",2010,"Nestor","Copper","","","book/book chapter",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6157","33794",2010,"Ott","Larson","A new, small ceratopsian dinosaur from the latest Cretaceous Hell Creek Formation, northwest South Dakota, United States: a preliminary description","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6173","51360",2010,"Petrulevicius","DelclÃƒÂ²s","A first fossil of the family Amphipterygidae (Odonata: Zygoptera), with description of a new genus from the Late Eocene/Early Oligocene of Siberia","","journal article",NA,"","Russia","Unknown","","","","","","","","","","","","","","",""
"6198","58079",2010,"Reguero","Prevosti","Rodent-like notoungulates (Typotheria) from Gran Barranca, Chubut Province, Argentina: phylogeny and systematics","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6203","32240",2010,"Renesto","Spielmann","The taxonomy and paleobiology of the Late Triassic (Carnian-Norian: Adamanian-Apachean) drepanosaurs (Diapsida: Archosauromorpha: Drepanosauromorpha)","","journal article",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"6204","32240",2010,"Renesto","Spielmann","The taxonomy and paleobiology of the Late Triassic (Carnian-Norian: Adamanian-Apachean) drepanosaurs (Diapsida: Archosauromorpha: Drepanosauromorpha)","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6206","57906",2010,"Ribeiro","LÃƒÂ³pez","The Leontiniidae (Mammalia, Notoungulata) from the Sarmiento Formation at Gran Barranca, Chubut Province, Argentina","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6214","33792",2010,"Ryan","Russell","A new chasmosaurine ceratopsid from the Judith River Formation, Montana","","book/book chapter",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6221","33268",2010,"Sanchez-Villagra","Agulera","The fossil vertebrate record of Venezuela of the last 65 million years","","book/book chapter",NA,"","Venezuela","Unknown","","","","","","","","","","","","","","",""
"6239","39024",2010,"Schweitzer","Feldmann","Systematic list of fossil decapod crustacean species","","serial monograph",NA,"","Italy","Unknown","","","","","","","","","","","","","","",""
"6281","35719",2010,"Sues","Fraser","","","book/book chapter",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6284","71754",2010,"Sulser","","The brachiopods in the Late Jurassic of northern and northwestern Switzerland - marine organisms between adaptation and dependence","","journal article",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"6285","71754",2010,"Sulser","","The brachiopods in the Late Jurassic of northern and northwestern Switzerland - marine organisms between adaptation and dependence","","journal article",NA,"","Switzerland","Unknown","","","","","","","","","","","","","","",""
"6314","53793",2010,"Tsubamoto","Saneyoshi","Report of the HMNS-MPC Joint Paleontological Expedition in 2008","","journal article",NA,"","Mongolia","Unknown","","","","","","","","","","","","","","",""
"6319","39450",2010,"van Kolfschoten","Vervoort-Kerkhoff","Maasvlakte I - Bronvan informatie voor paleontologen en archeologen","","journal article",NA,"","Netherlands","Unknown","","","","","","","","","","","","","","",""
"6342","70409",2010,"von Cosel","Marshall","A new genus and species of large mussel (Mollusca: Bivalvia: Mytilidae) from the Kermadec Ridge","","journal article",NA,"","Norfolk Island","Unknown","","","","","","","","","","","","","","",""
"6346","57932",2010,"Vucetich","Vieytes","The rodents from La Cantera and the early evolution of caviomorphs in South America","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6347","57933",2010,"Vucetich","Kramarz","Colhuehuapian rodents from Gran Barranca and other Patagonian localities: the state of the art","","book chapter",NA,"","Argentina","Unknown","","","","","","","","","","","","","","",""
"6365","35015",2010,"Wu","Godefroit","A hadrosaurine dentary from Upper Cretaceous of Jiayin, Heilongjiang","10.3969/j.issn.1004-5589.2010.01.001","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6373","41896",2010,"Yang","Zhao","Discovery of oryctocephalid trilobites from the Tsinghsutung Formation (Duyunian Stage, Qiandongian Series, Cambrian), Jianhe County, Guizhou Province","","journal article",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6374","33414",2010,"You","Tanoue","A new species of Archaeoceratops (Dinosauria: Neoceratopsia) from the Early Cretaceous of the Mazongshan area, northwestern China","","book/book chapter",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6403","39900",2010,"Zvonok","Danilov","About new findings of turtles in the Eocene of Ukraine","","abstract",NA,"","Ukraine","Unknown","","","","","","","","","","","","","","",""
"6413","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","France","Unknown","","","","","","","","","","","","","","",""
"6414","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Libya","Unknown","","","","","","","","","","","","","","",""
"6415","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Canada","Unknown","","","","","","","","","","","","","","",""
"6416","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6417","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"",NA,"Unknown","","","","","","","","","","","","","","",""
"6418","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Spain","Unknown","","","","","","","","","","","","","","",""
"6419","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","India","Unknown","","","","","","","","","","","","","","",""
"6420","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Nicaragua","Unknown","","","","","","","","","","","","","","",""
"6421","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Ukraine","Unknown","","","","","","","","","","","","","","",""
"6422","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6423","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Switzerland","Unknown","","","","","","","","","","","","","","",""
"6424","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","United Kingdom","Unknown","","","","","","","","","","","","","","",""
"6425","29343",2009,"Alroy","","High-handed opinions on taxonomy and other matters","","",NA,"","Egypt","Unknown","","","","","","","","","","","","","","",""
"6457","34413",2009,"Barnes","Reynolds","A new species of early Miocene allodelphinid dolphin (Cetacea, Odontoceti, Platanistoidea) from Cajon Pass, Southern California, U.S.A.","","journal article",NA,"","United States","Unknown","","","","","","","","","","","","","","",""
"6460","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Austria","Unknown","","","","","","","","","","","","","","",""
"6461","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Tanzania","Unknown","","","","","","","","","","","","","","",""
"6462","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Japan","Unknown","","","","","","","","","","","","","","",""
"6463","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Madagascar","Unknown","","","","","","","","","","","","","","",""
"6464","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Georgia","Unknown","","","","","","","","","","","","","","",""
"6465","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Romania","Unknown","","","","","","","","","","","","","","",""
"6466","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Kenya","Unknown","","","","","","","","","","","","","","",""
"6467","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","China","Unknown","","","","","","","","","","","","","","",""
"6468","30659",2009,"Baron-Szabo","","Taxonomic opinions on Cretaceous corals","","",NA,"","Czechia","Unknown","","","","","","","","","","","","","","",""
