reference_no,record_type,ref_type,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,publisher,pubcity,pubvol,pubno,firstpage,lastpage,publication_type,language,doi
5671,ref,occ,J. L.,Franzen,,,,1985,Exceptional preservation of Eocene vertebrates in the lake deposits of Grube Messel (West Germany),"Philosophical Transactions of the the Royal Society, London, B",,NA,NA,311,,181,186,,English,
8831,ref,occ,S. H.,Mamay,,,,1988,Gigantonoclea in the Lower Permian of Texas,Phytologia,,NA,NA,64,,330,332,,English,
8832,ref,occ,S. H.,Mamay,,,,1986,New species of Gigantopteridaceae,Phytologia,,NA,NA,61,,311,315,journal article,English,
7775,ref,occ,S.,Magallon-Puebla,P. S.,Herendeen,P. K. Endress,1996,Allonia decandra: Floral remains of the tribe Hamamelideae (Hamamelidaceae) from Campanian strata of southeastern USA,Plant Systematics and Evolution,,NA,NA,202,,177,198,journal article,English,
8500,ref,occ,S.,Magallon-Puebla,P. S.,Herendeen,P. K. Endress,1996,Allonia decandra: floral remains of the tribe Hamamelideae (Hamamelidaceae) from Campanian strata of southeastern USA,Plant Systematics and Evolution,,NA,NA,202,,177,198,journal article,English,
5379,ref,occ,T.,Harrison,,,,1997,"Neogene Paleontology of the Manonga Valley, Tanzania A Window into the Evolutionary History of east Africa","Plenum Press, New York and London.",,NA,NA,,,,,,English,
8474,ref,occ,A.,Mørk,G.,Elvebakk,"A.W. Forsberg, M.W. Hounslow, H.A. Nakrem, J.O. Vigran, W. Weitschat",1999,The type section of the Vikinghøgda Formation: a new Lower Triassic unit in central and eastern Svalbard,Polar Research,,NA,NA,18,1,51,82,journal article,English,
13335,ref,occ,R.,Wrona,,,,2003,"Early Cambrian molluscs from glacial erratics of King George Island, West Antarctica",Polish Polar Research,,NA,NA,24,03-Apr,181,216,journal article,English,
8879,ref,occ,P. L.,Binda,E.M.V.,Nambudiri,,1988,"Two new species of Erlansonisporites from the Whitemud Formation (Maastrichtian), Alberta, Canada",Pollen et Spores,,NA,NA,30,2,231,242,journal article,English,
8491,ref,occ,T. A.,Bond,,,,1968,"Permian palynological assemblage from the Wellington Formation Kay County, Oklahoma.",Pollen et Spores,,NA,NA,10,2,385,393,journal article,English,
8965,ref,occ,W. C.,Elsik,,,,1967,New sporomorph genera from the Upper Cretaceous of Peru,Pollen et Spores,,NA,NA,8,3,553,564,journal article,English,
8967,ref,occ,P.,Gunther,L. V.,Hills,,1970,Heterospory in Ariadnaesporites,Pollen et Spores,,NA,NA,12,1,123,130,journal article,English,
8771,ref,occ,J. W.,Hall,,,,1963,"Megaspores and other fossils in the Dakota Formation (Cenomanian) of Iowa, (U.S.A.)",Pollen et Spores,,NA,NA,5,2,425,443,journal article,English,
8968,ref,occ,J. W.,Hall,,,,1967,Two new species of Ariadnaesporites,Pollen et Spores,,NA,NA,9,3,563,568,journal article,English,
8785,ref,occ,S. K.,Srivastava,,,,1966,"Upper Cretaceous microflora (Maestrichtian) from Scollard, Alberta, Canada",Pollen et Spores,,NA,NA,8,3,497,552,journal article,English,
6902,ref,occ,T.,Delevoryas,R. C.,Hope,,1971,A new Triassic cycad and its phyletic implications,Postilla,,NA,NA,,150,1,21,journal article,English,
3161,ref,occ,G. G.,Simpson,,,,1968,A didelphid (Marsupialia) from the Early Eocene of Colorado,Postilla,,NA,NA,115,,1,3,journal article,English,
3184,ref,occ,B. H.,Slaughter,,,,1965,A therian from the Lower Cretaceous (Albian) of Texas,Postilla,,NA,NA,93,,1,18,journal article,English,
7838,ref,occ,W,Szafer,,,,1961,Miocenska Flora ze Starych Gliwic na Slasku (Miocene Flora of Stare Gliwice in Upper Silesia),Prace Instytut Geologiczny,,NA,NA,33,,1,205,serial monograph,,
6381,ref,occ,F,Prantl,,,,1940,Ordovicke a silurske mechovky z Montagne Noire (Languedock); Some Ordovician and Silurian Bryozoa from Montagne Noire (Languedock),"Praha (Prague), Nar. Mus., Sbornik, Geol. et Pal., 2B",,NA,NA,4,,81,104,journal article,,
416,ref,occ,G. J. B.,Germs,,,,1995,"The Neoproterozoic of southwestern Africa, with emphasis on platform stratigraphy and paleontology",Precambrian Research,,NA,NA,73,,137,151,,English,
422,ref,occ,S.,Weiguo,,,,1986,Precambrian mudusoids:the Cyclomedusa plexus and Cyclomedusa-like pseudofossils,Precambrian Research,,NA,NA,31,,325,360,,English,
423,ref,occ,S.,Weiguo,,,,1986,"Late Precambrian Pennatulids (sea pens) from the Eastern Yangtze Gorge, China: Paracharnia gen. nov",Precambrian Research,,NA,NA,31,,361,375,,English,
3905,ref,occ,S.,Weiguo,,,,1986,"Macroscopic worm-like body fossils from the Upper Precambrian (900-700 Ma), Huainan District, Anhui China and their stratigraphic and evolutionary significance",Precambrian Research,,NA,NA,31,,377,403,journal article,English,
5608,ref,occ,A.,Petter,F.K.,Jouffroy,,1993,Fiber type population in limb muscles of Microcebus murinus,Primatates,,NA,NA,34,2,181,196,,English,
12216,ref,occ,A.,Riabinin,,,,1938,Microzeuglodon aff. caucasicum Lyd. from the Upper Maikop beds of Kabristan,Problems of Paleontology,,NA,NA,4,,137,185,journal article,English,
9525,ref,occ,J. H.,Callomon,,,,1979,Marine boreal Bathonian fossils from the northern North Sea and their palaeogeographical significance,Proceeding of the Geologists' Assosciation,,NA,NA,90,4,163,169,journal article,English,
8431,ref,occ,K.-P.,Kelber,J.H.A.,van Konijnenburg-van Cittert,,1997,A new Rhaetian flora from the neighbourhood of Coburg (Germany) - preliminary results.,Proceedings 4th EPPC,,NA,NA,58,,105,114,journal article,English,
9209,ref,occ,E. H.,Colbert,,,,1948,A hadrosaurian dinosaur from New Jersey,Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,100,,23,37,journal article,English,
11886,ref,occ,J.,Leidy,,,,1868,Notice of some extinct cetaceans,Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,1868,,196,197,journal article,English,
11897,ref,occ,J.,Leidy,,,,1859,[Remarks on Dromatherium sylvestre and Ontocetus emmonsi],Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,1859,,162,,journal article,English,
12329,ref,occ,J.,Leidy,,,,1851,"[Descriptions of two fossil speceis of Balaena, B. palaeatlantica and B. prisca]",Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,5,,308,309,journal article,English,
12638,ref,occ,J.,Leidy,,,,1876,Remarks on fossils from the Ashley Phosphate Beds,Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,1876,,80,81,journal article,English,
13001,ref,occ,J.,Leidy,,,,1852,[Description of Emys culbertsonii],Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,6,,34,,journal article,English,
13003,ref,occ,J.,Leidy,,,,1858,[On the bones of a huge herbivorous saurian near Haddonfield],Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,10,,215,218,journal article,English,
13005,ref,occ,J.,Leidy,,,,1853,[Fragment of a jaw of an extinct saurian animal],Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,6,,404,,journal article,English,
12244,ref,occ,O. C.,Marsh,,,,1870,On a number of vertebrae of a new Dinosaurian from the Cretaceous green sand near Barnsboro,Proceedings of the Academy of Natural Sciences of Philadelphia,,NA,NA,22,,2,3,journal article,English,
3155,ref,occ,G. G.,Simpson,,,,1951,"Hayden, Cope, and the Eocene of New Mexico","Proceedings of the Academy of Natural Sciences, Philadelphia",,NA,NA,103,,1,21,journal article,English,
10195,ref,occ,C. T.,Brues,,,,1923,Some New Fossil Parasitic Hymenoptera from Baltic Amber,Proceedings of the American Academy of Arts and Sciences,,NA,NA,58,8,327,346,journal article,English,
12635,ref,occ,E. D.,Cope,,,,1875,"Synopsis of the Vertebrata of the Miocene of Cumberland County, New Jersey",Proceedings of the American Philosophical Society,,NA,NA,14,,361,364,journal article,English,
3167,ref,occ,W. J.,Sinclair,,,,1922,Entelodonts from the Big Badlands of South Dakota in the geological museum of Princeton University,Proceedings of the American Philosophical Society,,NA,NA,60,,467,495,journal article,English,
3169,ref,occ,W. J.,Sinclair,,,,1922,Hyracodons from the Big Badlands of South Dakota,Proceedings of the American Philosophical Society,,NA,NA,61,,65,79,journal article,English,
10905,ref,occ,M.,Sone,M. S.,Leman,,2000,"Some mid-Permian fossils from Felda Mayam, Central Peninsular Malaysia",Proceedings of the Annual Geological Congress of Malaysia,,NA,NA,,,143,149,serial monograph,English,
