"reference_no","samp_country","aff_country"
73919,"Russia","Russia"
73541,"Myanmar (Burma)","Czech Republic"
73933,"Lesotho","South Africa"
73248,"Antarctica","Argentina"
73922,"Tunisia","France"
73540,"USA","USA"
72678,"Myanmar (Burma)","Spain"
71568,"Greece","Greece"
74223,"India","India"
73502,"Venezuela","Brazil"
71500,"Chile","Chile"
73057,"Poland","Russia"
74467,"Poland","Russia"
74990,"Poland","Russia"
74450,"Mexico","Mexico"
74068,"Italy","Italy"
73542,"Australia","Brazil"
73542,"USA","Brazil"
71580,"UK","Switzerland"
74328,"Switzerland","Switzerland"
72914,"USA","USA"
74109,"Argentina","Argentina"
73874,"Canada","Canada"
72487,"Canada","Canada"
73026,"Russia","Russia"
74065,"Kyrgyzstan","Russia"
74065,"Russia","Russia"
71974,"Argentina","Argentina"
73334,"Argentina","Argentina"
71813,"France","France"
71707,"Mongolia","Russia"
72371,"Russia","Russia"
72986,"Russia","Russia"
74895,"UK","Russia"
74895,"Japan","Russia"
74895,"Russia","Russia"
73353,"Argentina","Argentina"
74204,"Myanmar (Burma)","China"
73338,"Argentina","Argentina"
74067,"Myanmar (Burma)","USA"
73875,"UK","UK"
73962,"Argentina","Argentina"
75085,"Myanmar (Burma)","Germany"
74447,"Netherlands","Switzerland"
73292,"Turkey","USA"
72928,"Australia","UK"
73301,"Argentina","UK"
73039,"USA","USA"
74048,"Colombia","Switzerland"
72029,"Germany","USA"
74218,"Brazil","Brazil"
74893,"China","China"
74064,"Russia","Russia"
71912,"Peru","Italy"
74701,"Russia","Australia"
74701,"Ukraine","Australia"
74364,"USA","USA"
73589,"USA","Germany"
71504,"Netherlands","USA"
73428,"Belgium","Italy"
73474,"Italy","Italy"
73240,"USA","USA"
73240,"Canada","USA"
74894,"Lesotho","UK"
72961,"USA","USA"
72464,"Bulgaria","Bulgaria"
74281,"Russia","Denmark"
74281,"Denmark","Denmark"
74327,"Argentina","Argentina"
71601,"Congo - Kinshasa","Belgium"
73257,"Bolivia","Argentina"
73128,"Peru","Italy"
74859,"Myanmar (Burma)","USA"
71848,"France","France"
74898,"USA","USA"
72960,"Germany","Germany"
73889,"Canada","Canada"
73430,"USA","USA"
74362,"Argentina","Argentina"
72722,"USA","USA"
73070,"Hungary","Hungary"
72117,"Poland","Latvia"
72426,"Russia","Latvia"
72426,"Ukraine","Latvia"
72720,"Russia","Latvia"
73342,"Ukraine","Latvia"
72238,"USA","USA"
73550,"Argentina","Argentina"
73550,"Bolivia","Argentina"
73066,"Colombia","Panama"
73635,"Colombia","Colombia"
72697,"Colombia","Colombia"
72626,"USA","USA"
71508,"Argentina","Argentina"
73165,"Argentina","Argentina"
73124,"Myanmar (Burma)","China"
74152,"Myanmar (Burma)","China"
73867,"France","France"
73867,"Russia","France"
73821,"Italy","Italy"
73295,"Italy","Italy"
73025,"Chile","Argentina"
74072,"UK","UK"
73965,"Argentina","Argentina"
73169,"France","Slovakia"
73169,"Germany","Slovakia"
73108,"France","China"
73469,"Brazil","Brazil"
72959,"Indonesia","France"
72116,"China","China"
72689,"Myanmar (Burma)","China"
73310,"Myanmar (Burma)","China"
74598,"Myanmar (Burma)","China"
74706,"China","China"
74622,"Myanmar (Burma)","China"
74272,"Egypt","USA"
73931,"USA","UK"
74919,"Argentina","Argentina"
74919,"Antarctica","Argentina"
71691,"USA","USA"
73239,"Venezuela","Brazil"
74392,"USA","USA"
74293,"Estonia","USA"
71756,"Italy","Italy"
71817,"Peru","Italy"
74106,"Italy","Italy"
74047,"Peru","Italy"
73435,"Spain","UK"
74155,"Brazil","Brazil"
72054,"USA","USA"
73795,"Kenya","USA"
73211,"USA","USA"
74163,"Spain","Argentina"
73043,"Bolivia","USA"
73041,"Peru","USA"
73392,"Bolivia","Argentina"
72682,"Myanmar (Burma)","China"
74890,"France","Germany"
73332,"Mexico","Mexico"
73693,"China","China"
73885,"Romania","Spain"
73885,"Spain","Spain"
71509,"Antarctica","USA"
74132,"Antarctica","Ukraine"
74309,"Myanmar (Burma)","USA"
72072,"Brazil","Brazil"
73845,"Afghanistan","France"
74151,"Niger","France"
74539,"India","France"
72357,"Netherlands","Belgium"
73337,"Argentina","Argentina"
72056,"Brazil","Brazil"
73479,"Spain","Italy"
71879,"Canada","Canada"
73943,"Argentina","Argentina"
74636,"Russia","USA"
71685,"Italy","Italy"
72666,"China","China"
72998,"Myanmar (Burma)","Poland"
74131,"Myanmar (Burma)","Poland"
71842,"USA","USA"
74250,"Myanmar (Burma)","China"
73467,"Germany","Russia"
74066,"Japan","Japan"
73294,"Brazil","Brazil"
71992,"Germany","Russia"
74009,"Myanmar (Burma)","Russia"
72050,"USA","USA"
73106,"Chile","USA"
74089,"Turkey","Turkey"
71930,"Australia","USA"
72549,"USA","USA"
73618,"Germany","Switzerland"
74512,"Brazil","Brazil"
74050,"Argentina","Argentina"
74993,"France","France"
74516,"USA","USA"
73727,"China","China"
72097,"Russia","Italy"
74249,"Russia","Italy"
74349,"Russia","Italy"
73882,"Russia","Italy"
74844,"Russia","Russia"
72752,"Spain","Spain"
72586,"Russia","Germany"
74116,"Russia","Belgium"
28119,"USA","Germany"
72668,"USA","USA"
73285,"Turks & Caicos Islands","USA"
74243,"Australia","Australia"
73770,"Brazil","Brazil"
73005,"China","China"
74194,"Myanmar (Burma)","China"
75089,"Myanmar (Burma)","China"
73939,"Canada","UK"
73939,"Mongolia","UK"
74873,"Mongolia","UK"
73382,"USA","UK"
72525,"India","Switzerland"
72525,"Pakistan","Switzerland"
73059,"Argentina","Argentina"
72042,"Greece","France"
71770,"Argentina","Argentina"
73042,"Argentina","Argentina"
72533,"Egypt","Italy"
71702,"Italy","Italy"
74148,"Italy","Switzerland"
72827,"Germany","Germany"
73588,"Morocco","France"
73216,"Uruguay","Uruguay"
72459,"Argentina","Argentina"
72696,"Chile","Argentina"
73751,"Romania","Ukraine"
73751,"Ukraine","Ukraine"
73751,"Moldova","Ukraine"
73302,"Argentina","Argentina"
72880,"Canada","Canada"
73921,"Russia","Russia"
73222,"China","China"
74292,"USA","USA"
74160,"France","Spain"
72164,"Brazil","Brazil"
73266,"Myanmar (Burma)","USA"
74003,"Poland","Czech Republic"
74629,"Myanmar (Burma)","Czech Republic"
74006,"Poland","Czech Republic"
75025,"Poland","Czech Republic"
75025,"Russia","Czech Republic"
72564,"Poland","Latvia"
72186,"Japan","Japan"
75178,"Myanmar (Burma)","China"
74324,"Australia","Australia"
74897,"Australia","Australia"
73062,"Japan","Japan"
74168,"India","India"
74641,"USA","UK"
74169,"Argentina","Argentina"
73870,"Namibia","Argentina"
72820,"Poland","Poland"
73767,"Mexico","Mexico"
71924,"Myanmar (Burma)","Slovakia"
72520,"Australia","Australia"
74220,"Japan","Japan"
71618,"Germany","Germany"
72721,"Myanmar (Burma)","Australia"
73401,"China","China"
74202,"Myanmar (Burma)","China"
71726,"China","China"
73003,"China","China"
73462,"China","China"
74667,"China","China"
74295,"Zambia","USA"
73027,"USA","Russia"
72826,"Myanmar (Burma)","Poland"
69845,"Sweden","Germany"
73024,"Myanmar (Burma)","China"
71950,"USA","USA"
71860,"Myanmar (Burma)","China"
74014,"New Zealand","China"
74088,"Germany","Germany"
73634,"China","China"
75091,"Myanmar (Burma)","China"
73594,"Colombia","Argentina"
73309,"Myanmar (Burma)","France"
74182,"Myanmar (Burma)","France"
74208,"Myanmar (Burma)","France"
74275,"Myanmar (Burma)","France"
74503,"France","France"
74135,"Egypt","France"
74135,"Mali","France"
74135,"Niger","France"
74135,"Nigeria","France"
74135,"Bolivia","France"
74135,"Sudan","France"
72613,"Germany","Switzerland"
71704,"USA","Switzerland"
71700,"India","Switzerland"
72839,"India","Switzerland"
72971,"Madagascar","USA"
72832,"Greece","Germany"
71967,"Ukraine","Russia"
73412,"Russia","Russia"
73412,"Poland","Russia"
74101,"Russia","Russia"
74975,"Mexico","Russia"
72089,"Thailand","Germany"
72123,"Thailand","Germany"
74279,"China","Russia"
74477,"South Korea","Russia"
72982,"Japan","Japan"
71758,"Germany","Russia"
71758,"Myanmar (Burma)","Russia"
71758,"Russia","Russia"
72341,"USA","Germany"
73923,"Jordan","Germany"
74286,"USA","USA   "
74165,"Antarctica","USA"
72563,"Czechia","Czech Republic"
74201,"Myanmar (Burma)","Czech Republic"
74276,"Myanmar (Burma)","Czech Republic"
73314,"Russia","Poland"
73314,"Mongolia","Poland"
74627,"Myanmar (Burma)","Poland"
71727,"China","Russia"
74283,"Russia","Russia"
73112,"Myanmar (Burma)","Slovakia"
73280,"Greece","Greece"
74227,"Poland","Poland"
72958,"India","India"
74414,"Poland","Czech Republic"
74803,"Mexico","Poland"
74471,"Russia","Russia"
74921,"Germany","Germany"
74486,"Mexico","Mexico"
73399,"Chile","Chile"
74139,"Morocco","UK"
72744,"Argentina","Argentina"
72665,"Mexico","Mexico"
73186,"Peru","Belgium"
73866,"Peru","Belgium"
75071,"Australia","Australia"
74866,"Morocco","USA"
72604,"Argentina","Argentina"
73305,"Myanmar (Burma)","Brazil"
72878,"Argentina","Argentina"
72915,"France","Belgium"
73729,"Myanmar (Burma)","Russia"
73465,"Dominican Republic","Russia"
72962,"Russia","Russia"
74451,"Germany","Russia"
72716,"Antarctica","USA"
73023,"China","China"
72013,"China","China"
73255,"Myanmar (Burma)","China"
74197,"Myanmar (Burma)","China"
74184,"Myanmar (Burma)","China"
74192,"Myanmar (Burma)","China"
75180,"Myanmar (Burma)","China"
74997,"Myanmar (Burma)","China"
74412,"Myanmar (Burma)","China"
74187,"Myanmar (Burma)","Poland"
73872,"China","China"
74728,"Myanmar (Burma)","Germany"
74234,"Morocco","UK"
72980,"Brazil","Brazil"
72663,"Myanmar (Burma)","China"
74282,"Myanmar (Burma)","China"
73551,"France","France"
73551,"Germany","France"
71518,"Mongolia","Russia"
71518,"Russia","Russia"
74474,"Russia","Russia"
73313,"Myanmar (Burma)","China"
73851,"Myanmar (Burma)","China"
75169,"Myanmar (Burma)","China"
74621,"Myanmar (Burma)","China"
74094,"Argentina","Switzerland"
74988,"China","China"
72228,"Ukraine","Russia"
72561,"China","China"
75179,"Brazil","Brazil"
71310,"Canada","Canada"
72973,"Brazil","Brazil"
71882,"France","France"
73366,"Portugal","Portugal"
74195,"Russia","Russia"
71773,"Argentina","Argentina"
73453,"Uruguay","Uruguay"
73349,"Uruguay","Uruguay"
71710,"Myanmar (Burma)","China"
73901,"USA","USA"
74705,"Brazil","Argentina"
73749,"Libya","France"
71744,"New Zealand","Germany"
73210,"USA","Germany"
74749,"Germany","Germany"
73468,"Russia","Russia"
73105,"USA","USA"
72447,"Chile","USA"
72462,"Bolivia","USA"
73819,"Morocco","UK"
74991,"Dominican Republic","Spain"
73343,"Dominican Republic","China"
73763,"Algeria","Algeria"
75000,"Myanmar (Burma)","Germany"
75026,"Russia","Poland"
74747,"Puerto Rico","Jamaica"
73341,"Argentina","Argentina"
74489,"France","France"
72163,"Antarctica","Sweden"
72669,"Argentina","Argentina"
74989,"Brazil","Brazil"
73014,"Spain","Spain"
74704,"Brazil","Brazil"
74166,"USA","USA"
73339,"Argentina","Argentina"
72957,"Russia","Russia"
71832,"France","Russia"
73020,"Myanmar (Burma)","Japan"
73408,"Brazil","Brazil"
72711,"China","France"
74668,"Germany","France"
74685,"Germany","France"
74186,"Brazil","France"
72994,"USA","USA"
75087,"Myanmar (Burma)","France"
72680,"Myanmar (Burma)","France"
73308,"Myanmar (Burma)","France"
75100,"Portugal","UK"
75100,"Germany","UK"
74162,"Japan","Japan"
71971,"Bulgaria","Bulgaria"
72556,"USA","USA"
74491,"Madagascar","USA"
74517,"Antarctica","Argentina"
74699,"Japan","Japan"
73784,"Mexico","Mexico"
72210,"Morocco","Spain"
73963,"Chile","Chile"
71391,"Japan","Japan"
75086,"Spain","UK"
74026,"Belgium","Spain"
74026,"France","Spain"
74565,"Spain","Spain"
73852,"Madagascar","Spain"
73008,"Spain","Spain"
72927,"Switzerland","Switzerland"
71657,"Belgium","Spain"
71657,"France","Spain"
74922,"Argentina","Argentina"
74986,"Argentina","Argentina"
71966,"USA","Italy"
71997,"USA","Canada"
73938,"Brazil","Brazil"
72550,"Sweden","Sweden"
72642,"Greenland","Sweden"
74199,"Brazil","Italy"
74640,"Belgium","Spain"
74098,"Italy","Italy"
74052,"Myanmar (Burma)","Germany"
73237,"Myanmar (Burma)","Ukraine"
73237,"France","Ukraine"
75001,"Ukraine","Ukraine"
74196,"Myanmar (Burma)","Ukraine"
74178,"Ukraine","Ukraine"
74495,"Argentina","Argentina"
72974,"Lesotho","France"
72972,"China","China"
73107,"Japan","Switzerland"
74384,"Russia","Switzerland"
72838,"Spain","Germany"
74136,"Namibia","France"
71683,"Myanmar (Burma)","USA"
71863,"Myanmar (Burma)","USA"
71864,"Myanmar (Burma)","USA"
71870,"Russia","Canada"
72710,"Myanmar (Burma)","USA"
72664,"Myanmar (Burma)","USA"
74226,"Myanmar (Burma)","USA"
74812,"Myanmar (Burma)","USA"
74383,"Argentina","Argentina"
73127,"Australia","Russia"
74097,"Canada","Russia"
73967,"Australia","Australia"
74198,"Brazil","France"
74209,"Brazil","France"
73442,"USA","Spain"
73579,"Peru","Argentina"
73331,"Argentina","Argentina"
72444,"Russia","Ukraine"
74478,"Russia","Ukraine"
74478,"Germany","Ukraine"
74478,"Ukraine","Ukraine"
72411,"Argentina","Argentina"
74193,"Myanmar (Burma)","Russia"
72985,"Switzerland","Germany"
74606,"Moldova","Moldova"
72011,"Germany","Germany"
72011,"Russia","Germany"
72051,"China","China"
72764,"France","France"
74176,"USA","USA"
74046,"Venezuela","Venezuela"
73190,"Costa Rica","Venezuela"
69293,"Switzerland","UK"
74896,"Australia","Australia"
74826,"Mexico","Mexico"
72098,"Norway","UK"
74004,"Russia","Czech Republic"
74273,"India","USA"
73748,"Madagascar","Spain"
73748,"Spain","Spain"
73748,"Portugal","Spain"
73336,"Mexico","Argentina"
73475,"Australia","Australia"
74318,"New Zealand","Australia"
74325,"USA","Australia"
74027,"Armenia","Armenia"
74875,"USA","Japan"
74950,"Poland","Poland"
73293,"Brazil","Brazil"
74433,"Austria","Austria"
74599,"Brazil","Brazil"
74231,"India","India"
71484,"Myanmar (Burma)","Germany"
73335,"Argentina","Argentina"
72562,"France","France"
71775,"Switzerland","Germany"
74085,"Myanmar (Burma)","Myanmar"
73846,"Spain","Spain"
74217,"Lebanon","Slovakia"
74217,"Myanmar (Burma)","Slovakia"
73911,"Iran","Germany"
75016,"Indonesia","Indonesia"
73319,"Myanmar (Burma)","China"
74005,"Russia","Latvia"
71976,"Myanmar (Burma)","Russia"
72560,"Russia","Russia"
72999,"Russia","Russia"
74285,"Myanmar (Burma)","China"
74277,"Australia","New Zealand"
74013,"Denmark","Ukraine"
75020,"Ukraine","Ukraine"
73925,"India","India"
72754,"Russia","Russia"
74323,"UK","UK"
73979,"Croatia","Croatia"
74153,"Russia","Russia"
72015,"Australia","Australia"
72237,"Egypt","USA"
73818,"Morocco","UK"
74294,"Antarctica","USA"
71814,"Germany","Germany"
73347,"Bolivia","Argentina"
73000,"Ukraine","Russia"
72647,"France","Belgium"
71516,"Dominican Republic","Germany"
73444,"Romania","Romania"
72753,"Chile","Chile"
73599,"Uruguay","Uruguay"
73612,"Uruguay","Uruguay"
74801,"Brazil","Brazil"
72252,"Brazil","Brazil"
73219,"Argentina","Argentina"
71965,"USA","China"
73363,"Mexico","Germany"
74173,"Brazil","Brazil"
74149,"USA","USA"
74479,"Russia","Russia"
73966,"Morocco","Canada"
73358,"Germany","USA"
73360,"Canada","USA"
73464,"Russia","Russia"
74203,"Myanmar (Burma)","China"
72967,"Dominican Republic","Poland"
73150,"Russia","Poland"
73150,"Poland","Poland"
74588,"Russia","Poland"
74588,"Poland","Poland"
72052,"China","China"
72137,"Japan","Japan"
72979,"Japan","Japan"
72978,"Ukraine","Russia"
74387,"Peru","Argentina"
70258,"USA","USA"
73487,"Australia","Australia"
73487,"South Africa","Australia"
72485,"Myanmar (Burma)","UK"
73022,"Myanmar (Burma)","UK"
73345,"UK","UK"
73883,"Myanmar (Burma)","UK"
75164,"Myanmar (Burma)","China"
74141,"Mexico","UK"
72075,"Russia","Russia"
72375,"USA","Japan"
72452,"Argentina","Argentina"
73320,"Myanmar (Burma)","USA"
71818,"Netherlands","Taiwan"
72840,"Russia","Russia"
74100,"Japan","Japan"
72618,"Ethiopia","Germany"
73193,"Costa Rica","Costa Rica"
72823,"Morocco","Netherlands"
72823,"Czechia","Netherlands"
72823,"Germany","Netherlands"
72358,"Armenia","Switzerland"
72358,"Georgia","Switzerland"
72981,"Bosnia & Herzegovina","Switzerland"
73732,"Argentina","Argentina"
73346,"Argentina","Argentina"
74918,"Romania","Romania"
72976,"Argentina","Argentina"
73290,"Greece","Germany"
72633,"Germany","Austria"
73879,"Russia","Luxembourg"
74112,"Myanmar (Burma)","Luxembourg"
72241,"USA","Argentina"
73452,"Canada","Canada"
74562,"Mongolia","Slovakia"
71790,"China","China"
71251,"China","China"
71888,"China","China"
72935,"Australia","China"
73441,"China","China"
73836,"China","China"
73130,"China","China"
72694,"Japan","Japan"
74229,"USA","USA"
73179,"Bosnia & Herzegovina","Germany"
71517,"USA","USA"
72834,"USA","USA"
75066,"USA","USA"
72120,"Myanmar (Burma)","Germany"
75168,"Myanmar (Burma)","Germany"
72323,"USA","USA"
75083,"USA","USA"
73620,"Argentina","Argentina"
73317,"North Korea","North Korea"
72177,"USA","USA"
72693,"Myanmar (Burma)","China"
73450,"China","Canada"
74746,"Myanmar (Burma)","Germany"
73948,"China","China"
71725,"China","China"
73318,"China","China"
74185,"Myanmar (Burma)","China"
74138,"China","China"
73602,"Russia","Russia"
73490,"China","China"
75185,"China","China"
73876,"China","China"
74259,"China","China"
73021,"Myanmar (Burma)","Japan"
73869,"Mongolia","USA"
74786,"China","China"
73868,"Canada","South Korea"
73267,"India","Poland"
74108,"Iran","Iran"
72672,"USA","Spain"
73596,"Bolivia","Argentina"
73596,"Argentina","Argentina"
73596,"Peru","Argentina"
71881,"China","China"
73772,"Dominican Republic","China"
72983,"China","China"
74210,"Myanmar (Burma)","China"
74586,"Myanmar (Burma)","China"
74624,"Myanmar (Burma)","China"
74190,"China","China"
74207,"Myanmar (Burma)","China"
74071,"China","China"
71816,"Myanmar (Burma)","China"
72691,"Myanmar (Burma)","China"
73861,"Myanmar (Burma)","China"
72879,"Australia","Australia"
71728,"China","China"
74628,"Myanmar (Burma)","China"
74219,"China","Australia"
73416,"Svalbard & Jan Mayen","Norway"
73920,"Canada","Russia"
73437,"Czechia","Czech Republic"
73437,"Germany","Czech Republic"
71296,"USA","USA"
70578,"Austria","Slovakia"
70578,"Hungary","Slovakia"
70578,"Morocco","Slovakia"
70578,"Russia","Slovakia"
70902,"Russia","Slovakia"
69740,"Mongolia","Slovakia"
68408,"Turkey","Turkey"
72366,"Norway","USA"
72386,"Germany","Germany"
71195,"Germany","USA"
71195,"USA","USA"
68483,"Russia","Russia"
69459,"Russia","Russia"
70042,"Germany","Russia"
70042,"Russia","Russia"
70395,"Germany","Russia"
70523,"Germany","Russia"
70641,"Russia","Russia"
70821,"Russia","Russia"
71545,"Russia","Russia"
73351,"Brazil","Brazil"
69526,"Argentina","Argentina"
68145,"USA","USA"
70628,"Zambia","USA"
67458,"Venezuela","Netherlands"
69984,"Cuba","Argentina"
68866,"Laos","France"
71098,"Canada","Canada"
70811,"Canada","Canada"
70811,"USA","Canada"
72783,"Argentina","Argentina"
70710,"Spain","Spain"
69143,"Russia","UK"
71291,"Peru","France"
68763,"Iran","Iran"
71017,"Russia","Russia"
69736,"USA","China"
70639,"Myanmar (Burma)","China"
68477,"Russia","Germany"
71344,"Germany","Germany"
71783,"Colombia","Brazil"
72921,"Italy","Russia"
73208,"Italy","Russia"
71127,"Myanmar (Burma)","China"
69283,"Russia","Germany"
73357,"Argentina","Argentina"
72831,"Argentina","Argentina"
70730,"Mexico","Slovakia"
71201,"Russia","Czech Republic"
69794,"Russia","Germany"
68533,"Iran","Italy"
69628,"Argentina","Argentina"
67812,"Denmark","USA"
68472,"Myanmar (Burma)","Germany"
70866,"Spain","Italy"
71302,"UK","Australia"
74251,"Australia","Australia"
74751,"Slovenia","Australia"
70103,"Madagascar","Italy"
61659,"Netherlands","USA"
69009,"Tanzania","USA"
71280,"USA","USA"
71515,"Poland","UK"
68241,"Canada","USA"
71211,"New Zealand","Australia"
13595,"USA","USA"
73281,"USA","USA"
69442,"Peru","France"
68469,"Russia","Russia"
69780,"Argentina","Germany"
71181,"Dominican Republic","France"
73615,"Italy","Switzerland"
73386,"Argentina","Argentina"
69135,"Argentina","Argentina"
73350,"Argentina","Argentina"
73548,"Argentina","Argentina"
72283,"Japan","USA"
62041,"Sweden","Sweden"
71831,"Czechia","Czech Republic"
69256,"Myanmar (Burma)","Canada"
73988,"Oman","Switzerland"
68806,"USA","USA"
73432,"USA","USA"
71943,"Japan","Australia"
71943,"Taiwan","Australia"
68663,"Hungary","Hungary"
68494,"Russia","Latvia"
68733,"Ukraine","Latvia"
69068,"Russia","Latvia"
69150,"Russia","Latvia"
69748,"Russia","Latvia"
70640,"Russia","Latvia"
71086,"Russia","Latvia"
71087,"Ukraine","Latvia"
74305,"Russia","USA"
70406,"Madagascar","USA"
68781,"Venezuela","Colombia"
68506,"China","China"
67790,"Uruguay","Uruguay"
67594,"Argentina","Argentina"
69019,"Croatia","Croatia"
68482,"Myanmar (Burma)","USA"
71089,"Greenland","USA"
69998,"Argentina","Argentina"
73259,"Brazil","Brazil"
69614,"Dominican Republic","Brazil"
69062,"UK","Austria"
67584,"Argentina","Argentina"
70904,"Russia","Slovakia"
68857,"UK","UK"
70304,"Thailand","Thailand"
69682,"South Africa","South Africa"
67745,"Romania","Romania"
70718,"China","China"
68474,"Myanmar (Burma)","China"
68479,"Myanmar (Burma)","China"
69048,"Myanmar (Burma)","China"
69425,"Australia","China"
69616,"Myanmar (Burma)","China"
70683,"China","China"
71249,"China","USA"
69879,"Argentina","Argentina"
70916,"Thailand","Thailand"
72910,"Argentina","Argentina"
69202,"USA","USA"
68251,"Bolivia","Brazil"
69530,"Brazil","Brazil"
70867,"Italy","Italy"
73013,"Argentina","USA"
73215,"Uruguay","Uruguay"
73215,"Argentina","Uruguay"
73390,"Brazil","Brazil"
73944,"Argentina","Argentina"
73494,"Argentina","Argentina"
73494,"Uruguay","Argentina"
61700,"Argentina","Argentina"
72465,"Argentina","Argentina"
71276,"USA","USA"
67744,"Portugal","Portugal"
73427,"Guatemala","Guatemala"
70608,"Italy","Spain"
74409,"Iraq","Iraq"
70756,"Turkey","Turkey"
72214,"India","India"
70184,"France","France"
67031,"Germany","Netherlands"
67031,"Serbia","Netherlands"
71341,"France","France"
72945,"Argentina","Argentina"
63759,"France","Spain"
69573,"Mexico","Germany"
69573,"USA","Germany"
70202,"Peru","Peru"
72911,"Argentina","Argentina"
70809,"Russia","USA"
63959,"South Africa","South Africa"
70183,"China","China"
68891,"Jamaica","Netherlands"
35474,"USA","USA"
69637,"France","France"
69637,"Germany","France"
67972,"Italy","Hungary"
71153,"Poland","Czech Republic"
67971,"USA","USA"
71232,"USA","USA"
73324,"Japan","Japan"
69254,"Myanmar (Burma)","Germany"
71286,"Argentina","Bolivia"
73092,"Argentina","Argentina"
72086,"Belgium","Belgium"
72069,"Canada","Germany"
61683,"USA","USA"
71076,"Germany","Italy"
68174,"Germany","Italy"
69276,"Lithuania","Italy"
69700,"Russia","Italy"
70633,"Poland","Italy"
71496,"Dominican Republic","Italy"
71496,"Myanmar (Burma)","Italy"
71496,"Russia","Italy"
69212,"USA","USA"
72896,"Argentina","Argentina"
72833,"Argentina","Argentina"
70804,"USA","USA"
67919,"Russia","Germany"
71035,"Russia","Germany"
67426,"Turkey","France"
70629,"Romania","Switzerland"
69192,"Italy","Switzerland"
71823,"Myanmar (Burma)","China"
73510,"Australia","Germany"
61705,"Argentina","Argentina"
68126,"Italy","Hungary"
67852,"Argentina","Argentina"
67999,"France","USA"
67999,"UK","USA"
71210,"Myanmar (Burma)","China"
71026,"Argentina","Argentina"
67969,"Vietnam","Switzerland"
68530,"Argentina","Argentina"
61733,"USA","USA"
70291,"USA","France"
69916,"Argentina","Argentina"
69101,"Switzerland","Slovakia"
70786,"Greece","Italy"
68569,"USA","UK"
36496,"Italy","Italy"
71746,"Namibia","USA"
71231,"Egypt","USA"
70671,"Egypt","USA"
71208,"Russia","Poland"
71208,"Poland","Poland"
73389,"Brazil","Brazil"
71254,"USA","USA"
70666,"Argentina","Argentina"
68065,"Turkey","Turkey"
71360,"UK","Russia"
67939,"Tanzania","USA"
62247,"South Africa","South Africa"
67834,"Romania","Romania"
69813,"USA","USA"
70823,"Myanmar (Burma)","USA"
69787,"Italy","Australia"
71279,"Mexico","France"
71088,"China","China"
70477,"USA","USA"
68011,"Russia","Latvia"
70482,"Myanmar (Burma)","Latvia"
70483,"Poland","Latvia"
61549,"Iran","Germany"
71420,"China","China"
74437,"China","China"
69220,"Australia","Australia"
69710,"USA","USA"
72119,"USA","USA"
71091,"China","China"
68050,"China","China"
70533,"Myanmar (Burma)","Austria"
69524,"Argentina","USA"
69517,"Argentina","Argentina"
71340,"Myanmar (Burma)","Slovakia"
71701,"Japan","Japan"
72017,"Turkey","Netherlands"
73762,"USA","USA"
69758,"Spain","Brazil"
67988,"UK","Germany"
73443,"Canada","UK"
71543,"Austria","Austria"
69830,"Brazil","Brazil"
73369,"China","China"
71925,"Taiwan","Taiwan"
69340,"China","China"
70747,"China","China"
70803,"China","China"
70605,"China","China"
73151,"China","China"
70797,"Myanmar (Burma)","Canada"
73448,"Argentina","Argentina"
70580,"Mongolia","China"
70937,"Japan","Japan"
68890,"Slovakia","Bulgaria"
70347,"Russia","Poland"
69727,"Myanmar (Burma)","France"
67922,"Jordan","Netherlands"
70198,"Myanmar (Burma)","China"
73986,"Chile","Germany"
70292,"Myanmar (Burma)","China"
72016,"Turkey","Slovakia"
65780,"Turkey","France"
70995,"USA","Switzerland"
69447,"France","Switzerland"
69447,"USA","Switzerland"
68728,"South Africa","USA"
70216,"Russia","Russia"
69790,"India","India"
71427,"Indonesia","Germany"
72817,"Japan","Japan"
72132,"Taiwan","Japan"
72898,"Argentina","USA"
68248,"Azerbaijan","Russia"
74979,"Poland","Russia"
69017,"Dominican Republic","USA"
71289,"Lebanon","Brazil"
71269,"Brazil","Brazil"
73449,"Antarctica","Brazil"
71730,"South Korea","Russia"
70305,"Mongolia","South Korea"
71414,"UK","Russia"
71248,"Japan","Japan"
74143,"Dominican Republic","USA"
69234,"Greece","Greece"
68086,"China","Czech Republic"
69473,"Greece","Germany"
69344,"Poland","Poland"
69344,"Russia","Poland"
69344,"Ukraine","Poland"
71288,"USA","USA"
67711,"Sweden","Finland"
69959,"Argentina","Argentina"
73114,"Argentina","Argentina"
68212,"Iran","Austria"
71476,"UK","Poland"
71703,"India","India"
67226,"Germany","Sweden"
68949,"Poland","Poland"
73908,"Greece","France"
72771,"Argentina","Argentina"
68077,"Germany","Germany"
68077,"Italy","Germany"
68077,"Switzerland","Germany"
69772,"Argentina","USA"
69278,"Brazil","Brazil"
70302,"Morocco","France"
70439,"Greece","Greece"
67955,"Mongolia","South Korea"
73451,"Mongolia","South Korea"
71328,"Germany","Russia"
71328,"Russia","Russia"
71106,"China","China"
69864,"China","China"
71542,"China","China"
70328,"China","China"
67740,"China","China"
72068,"China","China"
69423,"China","China"
70707,"USA","USA"
68224,"China","China"
68224,"Myanmar (Burma)","China"
69426,"Myanmar (Burma)","China"
68984,"Dominican Republic","Germany"
68984,"Mexico","Germany"
69413,"Ukraine","Russia"
69880,"Brazil","Brazil"
69141,"Myanmar (Burma)","China"
71485,"Russia","Russia"
