"reference_no","samp_country","aff_country"
60681,"Lebanon","Russia"
60681,"Lebanon","China"
60681,"Lebanon","Lebanon"
60681,"Lebanon","France"
60803,"Myanmar (Burma)","China"
60803,"Myanmar (Burma)","Russia"
60803,"Myanmar (Burma)","USA"
61290,"Myanmar (Burma)","China"
59550,"Myanmar (Burma)","China"
59550,"Myanmar (Burma)","USA"
60802,"Myanmar (Burma)","China"
59322,"USA","UK"
65939,"Nigeria","UK"
60861,"Myanmar (Burma)","China"
56924,"Spain","Russia"
56924,"Spain","Spain"
60902,"New Zealand","New Zealand"
59123,"Myanmar (Burma)","Russia"
58855,"Russia","Russia"
58855,"Russia","Ukraine"
62886,"Italy","Italy"
62886,"Italy","Germany"
59886,"Peru","France"
59886,"Peru","Peru"
59886,"Peru","Argentina"
59886,"Peru","USA"
66455,"Morocco","France"
62731,"France","France"
60331,"France","France"
60711,"Germany","Germany"
70969,"France","France"
57188,"South Africa","South Africa"
57188,"South Africa","UK"
63599,"Panama","USA"
63599,"Panama","Panama"
58094,"Lebanon","France"
58094,"Lebanon","Lebanon"
57205,"Myanmar (Burma)","France"
57205,"Myanmar (Burma)","China"
57205,"Myanmar (Burma)","Lebanon"
57415,"Brazil","France"
59221,"Spain","Spain"
59221,"Spain","USA"
60250,"France","France"
56943,"Iran","Germany"
56943,"Iran","Iran"
58242,"UK","Russia"
58242,"UK","UK"
58242,"UK","Poland"
67472,"China","China"
60555,"Myanmar (Burma)","China"
60555,"Myanmar (Burma)","Germany"
65863,"Spain","Spain"
65863,"Spain","Portugal"
65863,"Spain","France"
65863,"Spain","Canada"
61087,"Russia","France"
61087,"Russia","Ukraine"
59331,"Myanmar (Burma)","France"
59331,"Myanmar (Burma)","USA"
59331,"Myanmar (Burma)","China"
61803,"France","France"
66400,"Russia","USA"
58476,"Myanmar (Burma)","USA"
61331,"Myanmar (Burma)","USA"
66755,"USA","USA"
58201,"France","France"
60438,"Myanmar (Burma)","Russia"
60438,"Myanmar (Burma)","UK"
60438,"Myanmar (Burma)","USA"
64065,"Venezuela","Venezuela"
64065,"Venezuela","USA"
59253,"China","France"
59253,"China","Russia"
59253,"China","China"
57718,"Aruba","Argentina"
57983,"UK","Russia"
57983,"UK","UK"
56224,"Spain","Spain"
56224,"Spain","France"
65692,"Germany","Germany"
59191,"Myanmar (Burma)","China"
59191,"Myanmar (Burma)","USA"
59191,"Myanmar (Burma)","UK"
59191,"Myanmar (Burma)","Germany"
59531,"Myanmar (Burma)","China"
59531,"Myanmar (Burma)","USA"
59531,"Myanmar (Burma)","UK"
61289,"Lebanon","Slovakia"
61289,"Lebanon","China"
61289,"Lebanon","Lebanon"
60599,"Mexico","Mexico"
60599,"Mexico","Canada"
57454,"Iran","Iran"
57454,"Iran","Germany"
60950,"Malaysia","China"
57703,"USA","USA"
57703,"USA","Canada"
57703,"USA","China"
59914,"India","Belgium"
59914,"India","India"
59914,"India","USA"
61395,"Slovenia","Croatia"
61395,"Slovenia","Slovenia"
60795,"USA","USA"
58326,"USA","USA"
58326,"USA","Canada"
56527,"Spain","Poland"
56527,"Spain","Spain"
58637,"Brazil","USA"
58637,"Brazil","Brazil"
58637,"Brazil","Argentina"
70938,"Japan","Canada"
70938,"Japan","Japan"
58761,"China","China"
61293,"Mexico","Mexico"
62998,"Greece","Greece"
62998,"Greece","France"
62998,"Greece","Netherlands"
58763,"Czechia","Czech Republic"
60904,"Greece","Argentina"
60904,"Greece","Greece"
60904,"Greece","Italy"
60904,"Greece","Spain"
56087,"China","China"
56087,"China","Germany"
56087,"China","UK"
61884,"China","China"
61884,"China","UK"
59567,"USA","USA"
57890,"Myanmar (Burma)","Germany"
57890,"Myanmar (Burma)","China"
60501,"Myanmar (Burma)","Germany"
60501,"Myanmar (Burma)","China"
58912,"China","China"
